Amino acid	Atom name	C	H	Multip.	COSY	HSQC	HSQC_+/-	HMBC
Leu1	1		-		-	-		-
	2	53.5	4.01		1.49, 1.74, 7.64	53.5	+	-
	2-NH		7.64		4.01	-		-
	3	39.1	1.74		1.49, 4.01	39.1	-	-
			1.49		1.66, 1.74, 4.01	39.1		-
	4	24.2	1.66		0.80, 0.86, 1.49	24.2	+	-
	5a	23.0	0.86		1.66	23.0	+	21.0, 39.1
	5b		0.80		1.66	-	+	39.1
Leu2	1		-		-	-	0	-
	2	50.1	4.50		1.13, 1.80, 7.14	50.1	+	-
	2-NH		7.14		4.50	-		-
	3	39.4	1.80		1.13, 1.44, 4.50	39.4	-	-
			1.13		1.80, 4.50	39.4		-
	4	24.5	1.44		0.78, 1.80	24.5	+	-
	5a		0.78		1.44	-	+	-
	5b		-		-	-	+	-
Me-Asp3	1		-		-	-	0	-
	2		4.12		7.87	-	?	-
	2-NH		7.87		4.12	-		-
	3		-		-	-	?	-
	3-Me	15.1	0.89		-	15.1	+	178.5, 55.3
	4	178.5	-		-	-		-
Arg4	1		-		-	-	0	-
	2	51.6	4.13		1.29, 1.97, 8.83	51.6	+	-
	2-NH		8.83		4.13	-		-
	3	28.4	1.97		1.30, 1.37, 4.13	28.4	-	-
			1.29		4.13	28.4		-
	4	25.9	1.37		1.97, 3.01	25.9	-	-
			1.30		1.97, 3.01	25.9		-
	5	40.5	3.01		1.30, 1.37, 7.37	40.5	-	-
	5-NH		7.37		3.01	-		-
Adda5	1	174.0	-		-	-	0	-
	2		2.78		0.92, 4.36	-	+	-
	2-Me	16.1	0.92		2.78	16.1	+	174.0, 43.1, 54.4
	3		4.36		2.78, 5.32, 7.75	-	+	-
	3-NH		7.75		4.36	-		-
	4		5.32		4.36, 6.09	126.3	+	132.0
	5	135.4	6.09		5.32	135.4	+	12.5, 132.0, 54.4
	6	132.0	-		-	-	0	-
	6-Me	12.5	1.55		5.45	12.5	+	132.0
	7	135.3	5.45		1.55, 2.56	135.3	+	12.5
	8	35.3	2.56		0.98, 3.25, 5.45	35.3	+	-
	8-Me	15.8	0.98		2.56	15.8	+	35.3, 85.8
	9	85.8	3.25		2.56, 2.68, 2.74	85.8	+	15.8, 57.4
	9-OMe	57.4	3.19		-	57.4	+	85.8
	10	37.0	2.74		2.68, 3.25	37.0	-	129.3, 139.2, 35.3, 85.8
			2.68		2.74, 3.25	37.0		129.3, 139.2, 35.3, 85.8
	11	139.2	-		-	-	0	-
	12	129.3	7.19		-	129.3	+	37.0
	13	128.1	7.27		-	128.1	+	139.2
	14	125.9	7.18		-	125.9	+	-
Glu6	1		-		-	-	0	-
	2		4.35		1.74, 1.87, 9.28	-	+	-
	2-NH		9.28		4.35	-		-
	3		1.74		1.87, 2.30, 4.35	-	-	-
	4	31.2	2.23		1.87, 2.30	31.2	-	-
			2.30		1.74, 2.23	31.2		-
	5	175.1	-		-	-	0	-
Mdha7	1	163.1	-		-	-	0	-
	2	144.8	-		-	-	0	-
	2-N-Me	37.3	3.12		-	37.3	+	175.1
	3	113.9	5.81		-	113.9	-	163.1
			5.39		-	113.9		144.8, 163.1
