inactive;Amino Acid;Atom name;C-Name;pos/neg;H-Name;broadness;Multiplicity;J;Number of H
;Leu1;;CLeu1 1;;;;;;
;Leu1;;CLeu1 2;;HLeu1 2;;;;
;Leu1;;;;HLeu1 2-NH;;;;
;Leu1;;CLeu1 3;;HLeu1 3a;;;;
;Leu1;;;;HLeu1 3b;;;;
;Leu1;;CLeu1 4;;HLeu1 4;;;;
;Leu1;;CLeu1 5a;;HLeu1 5a;;;;
;Leu1;;CLeu1 5b;;HLeu1 5b;;;;
;Leu2;;CLeu2 1;;;;;;
;Leu2;;CLeu2 2;;HLeu2 2;;;;
;Leu2;;;;HLeu2 2-NH;;;;
;Leu2;;CLeu2 3;;HLeu2 3a;;;;
;Leu2;;;;HLeu2 3b;;;;
;Leu2;;CLeu2 4;;HLeu2 4;;;;
;Leu2;;CLeu2 5a;;HLeu2 5a;;;;
;Leu2;;CLeu2 5b;;HLeu2 5b;;;;
;Me-Asp3;;CMe-Asp3 1;;HMe-Asp3 1;;;;
;Me-Asp3;;CMe-Asp3 2;;HMe-Asp3 2;;;;
;Me-Asp3;;;;HMe-Asp3 2-NH;;;;
;Me-Asp3;;CMe-Asp3 3;;HMe-Asp3 3;;;;
;Me-Asp3;;CMe-Asp3 3-Me;;HMe-Asp3 3-Me;;;;
;Me-Asp3;;CMe-Asp3 4;;HMe-Asp3 4;;;;
;Arg4;;CArg4 1;;;;;;
;Arg4;;CArg4 2;;HArg4 2;;;;
;Arg4;;;;HArg4 2-NH;;;;
;Arg4;;CArg4 3;;HArg4 3a;;;;
;Arg4;;;;HArg4 3b;;;;
;Arg4;;CArg4 4;;HArg4 4a;;;;
;Arg4;;;;HArg4 4b;;;;
;Arg4;;CArg4 5;;HArg4 5a;;;;
#;Arg4;;;;HArg4 5b;;;;
;Arg4;;;;HArg4 5-NH;;;;
;Adda5;;CAdda5 1;;;;;;
;Adda5;;CAdda5 2;;HAdda5 2;;;;
;Adda5;;CAdda5 2-Me;;HAdda5 2-Me;;;;
;Adda5;;CAdda5 3;;HAdda5 3;;;;
;Adda5;;;;HAdda5 3-NH;br;d;?;1
;Adda5;;CAdda5 4;;HAdda5 4;;;;
;Adda5;;CAdda5 5;;HAdda5 5;;;;
;Adda5;;CAdda5 6;;;;;;
;Adda5;;CAdda5 6-Me;;HAdda5 6-Me;;;;
;Adda5;;CAdda5 7;;HAdda5 7;;;;
;Adda5;;CAdda5 8;;HAdda5 8;;;;
;Adda5;;CAdda5 8-Me;;HAdda5 8-Me;;;;
;Adda5;;CAdda5 9;;HAdda5 9;;;;
;Adda5;;CAdda5 9-OMe;;HAdda5 9-OMe;;;;
;Adda5;;CAdda5 10;;HAdda5 10a;;;;
;Adda5;;;;HAdda5 10b;;;;
;Adda5;;CAdda5 11;;;;;;
;Adda5;;CAdda5 12;;HAdda5 12;;;;
;Adda5;;CAdda5 13;;HAdda5 13;;;;
;Adda5;;CAdda5 14;;HAdda5 14;;;;
;Glu6;;CGlu6 1;;;;;;
;Glu6;;CGlu6 2;;HGlu6 2;;;;
;Glu6;;;;HGlu6 2-NH;;;;
;Glu6;;CGlu6 3;;HGlu6 3a;;;;
#;Glu6;;;;HGlu6 3b;;;;
;Glu6;;CGlu6 4;;HGlu6 4a;;;;
;Glu6;;;;HGlu6 4b;;;;
;Glu6;;CGlu6 5;;;;;;
;Mdha7;;CMdha7 1;;;;;;
;Mdha7;;CMdha7 2;;;;;;
;Mdha7;;CMdha7 2-N-Me;;HMdha7 2-N-Me;;;;
;Mdha7;;CMdha7 3;;HMdha7 3a;;;;
;Mdha7;;;;HMdha7 3b;;;;
